image_figures,labels_densenet,labels_inception,labels_resnet,labels_vgg16,labels_vgg19
image_figures_0.png,"""tow truck"",","""tractor"",","""tractor"",","""forklift"",","""tow truck"","
image_figures_1.png,"""mobile home"",","""mobile home"",","""mobile home"",","""mobile home"",","""mobile home"","
image_figures_2.png,"""sawmill"",","""horse-drawn vehicle"",","""hay"",","""split-rail fence"",","""bison"","
image_figures_3.png,"""mobile home"",","""yurt"",","""sawmill"",","""mobile home"",","""mobile home"","
image_figures_4.png,"""threshing machine"",","""threshing machine"",","""hartebeest"",","""harvester"",","""barn"","
image_figures_5.png,"""split-rail fence"",","""split-rail fence"",","""bison"",","""split-rail fence"",","""bison"","
image_figures_6.png,"""thatched roof"",","""maypole"",","""solar thermal collector"",","""alp"",","""thatched roof"","
image_figures_7.png,"""lakeshore"",","""stone wall"",","""geyser"",","""megalith"",","""geyser"","
image_figures_8.png,"""pole"",","""traffic sign"",","""mountain bike"",","""traffic light"",","""unicycle"","
image_figures_9.png,"""yurt"",","""shoal"",","""barn"",","""stone wall"",","""mobile home"","
image_figures_10.png,"""garbage truck"",","""garbage truck"",","""garbage truck"",","""tank"",","""amphibious vehicle"","
image_figures_11.png,"""boathouse"",","""shoal"",","""boathouse"",","""apiary"",","""yurt"","
image_figures_12.png,"""lakeshore"",","""balloon"",","""lakeshore"",","""lakeshore"",","""lakeshore"","
image_figures_13.png,"""boathouse"",","""boathouse"",","""split-rail fence"",","""boathouse"",","""split-rail fence"","
image_figures_14.png,"""sawmill"",","""pole"",","""sawmill"",","""valley"",","""geyser"","
image_figures_15.png,"""valley"",","""cliff"",","""valley"",","""valley"",","""valley"","
image_figures_16.png,"""geyser"",","""geyser"",","""lakeshore"",","""lakeshore"",","""seashore"","
image_figures_17.png,"""geyser"",","""geyser"",","""geyser"",","""geyser"",","""geyser"","
image_figures_18.png,"""boathouse"",","""sawmill"",","""alp"",","""cliff"",","""alp"","
image_figures_19.png,"""sawmill"",","""shoal"",","""sawmill"",","""split-rail fence"",","""split-rail fence"","
image_figures_20.png,"""passenger car"",","""split-rail fence"",","""passenger car"",","""mobile home"",","""mobile home"","
image_figures_21.png,"""solar thermal collector"",","""freight car"",","""lakeshore"",","""solar thermal collector"",","""greenhouse"","
image_figures_22.png,"""cliff"",","""forklift"",","""cliff"",","""canoe"",","""valley"","
image_figures_23.png,"""church"",","""stupa"",","""flagpole"",","""church"",","""barn"","
image_figures_24.png,"""geyser"",","""split-rail fence"",","""split-rail fence"",","""split-rail fence"",","""split-rail fence"","
image_figures_25.png,"""geyser"",","""shoal"",","""shoal"",","""shoal"",","""geyser"","
image_figures_26.png,"""shoal"",","""cliff"",","""mountain bike"",","""shoal"",","""shoal"","
image_figures_27.png,"""wheelbarrow"",","""warthog"",","""mountain bike"",","""shoal"",","""mountain bike"","
image_figures_28.png,"""shoal"",","""mountain bike"",","""jeep"",","""jeep"",","""geyser"","
image_figures_29.png,"""split-rail fence"",","""sawmill"",","""suspension bridge"",","""plow"",","""plow"","
image_figures_30.png,"""shoal"",","""shoal"",","""shoal"",","""shoal"",","""shoal"","
image_figures_31.png,"""dam"",","""alp"",","""alp"",","""valley"",","""dam"","
image_figures_32.png,"""pole"",","""pole"",","""pole"",","""pole"",","""pole"","
image_figures_33.png,"""pole"",","""umbrella"",","""suspension bridge"",","""pole"",","""pole"","
image_figures_34.png,"""sawmill"",","""alp"",","""mountain bike"",","""geyser"",","""geyser"","
image_figures_35.png,"""pole"",","""horizontal bar"",","""horizontal bar"",","""pole"",","""pole"","
image_figures_36.png,"""parallel bars"",","""valley"",","""parallel bars"",","""suspension bridge"",","""plow"","
image_figures_37.png,"""parallel bars"",","""swing"",","""swing"",","""swing"",","""swing"","
image_figures_38.png,"""valley"",","""cliff"",","""valley"",","""apiary"",","""apiary"","
image_figures_39.png,"""split-rail fence"",","""shoal"",","""lakeshore"",","""shoal"",","""maze"","
image_figures_40.png,"""valley"",","""cliff"",","""cliff"",","""valley"",","""valley"","
image_figures_41.png,"""geyser"",","""valley"",","""valley"",","""valley"",","""valley"","
image_figures_42.png,"""split-rail fence"",","""alp"",","""lakeshore"",","""mountain bike"",","""valley"","
image_figures_43.png,"""mobile home"",","""swing"",","""pole"",","""mobile home"",","""swing"","
image_figures_44.png,"""cliff"",","""cliff"",","""cliff"",","""cliff"",","""castle"","
image_figures_45.png,"""barn"",","""stupa"",","""bell-cot"",","""birdhouse"",","""birdhouse"","
image_figures_46.png,"""yurt"",","""yurt"",","""yurt"",","""yurt"",","""yurt"","
image_figures_47.png,"""shoal"",","""shoal"",","""swing"",","""sawmill"",","""shoal"","
image_figures_48.png,"""shoal"",","""bullock cart"",","""sawmill"",","""shoal"",","""shoal"","
image_figures_49.png,"""cliff"",","""cliff"",","""cliff"",","""cliff"",","""cliff"","
image_figures_50.png,"""lakeshore"",","""mountain bike"",","""mountain bike"",","""mountain bike"",","""mountain bike"","
image_figures_51.png,"""cliff"",","""nail"",","""cliff"",","""dam"",","""cliff"","
image_figures_52.png,"""passenger car"",","""chain-link fence"",","""passenger car"",","""freight car"",","""steam locomotive"","
image_figures_53.png,"""stretcher"",","""stretcher"",","""cliff"",","""stretcher"",","""stretcher"","
image_figures_54.png,"""lakeshore"",","""geyser"",","""lakeshore"",","""lakeshore"",","""lakeshore"","
image_figures_55.png,"""dam"",","""dam"",","""shoal"",","""shoal"",","""shoal"","
image_figures_56.png,"""sawmill"",","""cliff dwelling"",","""mountain bike"",","""mailbox"",","""viaduct"","
image_figures_57.png,"""dam"",","""lakeshore"",","""dam"",","""cliff"",","""viaduct"","
image_figures_58.png,"""pole"",","""pole"",","""pole"",","""pole"",","""pole"","
image_figures_59.png,"""mountain bike"",","""hay"",","""mountain bike"",","""volcano"",","""valley"","
image_figures_60.png,"""go-kart"",","""breakwater"",","""maze"",","""hay"",","""maze"","
image_figures_61.png,"""tow truck"",","""crane (machine)"",","""crane (machine)"",","""crane (machine)"",","""crane (machine)"","
image_figures_62.png,"""canoe"",","""mountain bike"",","""mountain bike"",","""bobsleigh"",","""bobsleigh"","
image_figures_63.png,"""geyser"",","""shoal"",","""shoal"",","""mountain bike"",","""geyser"","
image_figures_64.png,"""alp"",","""split-rail fence"",","""alp"",","""volcano"",","""alp"","
image_figures_65.png,"""dam"",","""suspension bridge"",","""pole"",","""dam"",","""hay"","
image_figures_66.png,"""split-rail fence"",","""pier"",","""dock"",","""pole"",","""electric locomotive"","
image_figures_67.png,"""split-rail fence"",","""alp"",","""maze"",","""barn"",","""barn"","
image_figures_68.png,"""pole"",","""seashore"",","""pole"",","""pole"",","""pole"","
image_figures_69.png,"""race car"",","""taxicab"",","""jeep"",","""tow truck"",","""ambulance"","
image_figures_70.png,"""pole"",","""pole"",","""pole"",","""pole"",","""pole"","
image_figures_71.png,"""alp"",","""alp"",","""alp"",","""dam"",","""greenhouse"","
image_figures_72.png,"""cliff"",","""cliff"",","""cliff"",","""cliff"",","""cliff"","
image_figures_73.png,"""yurt"",","""mobile home"",","""mobile home"",","""yurt"",","""mobile home"","
image_figures_74.png,"""stretcher"",","""threshing machine"",","""swing"",","""greenhouse"",","""greenhouse"","
image_figures_75.png,"""mountain bike"",","""park bench"",","""stone wall"",","""stone wall"",","""mountain bike"","
image_figures_76.png,"""Australian Kelpie"",","""sunscreen"",","""tent"",","""tent"",","""tent"","
image_figures_77.png,"""garbage truck"",","""garbage truck"",","""garbage truck"",","""garbage truck"",","""garbage truck"","
image_figures_78.png,"""hartebeest"",","""mountain bike"",","""valley"",","""mountain bike"",","""mountain bike"","
image_figures_79.png,"""split-rail fence"",","""shoal"",","""lakeshore"",","""mountain bike"",","""geyser"","
image_figures_80.png,"""valley"",","""split-rail fence"",","""valley"",","""valley"",","""valley"","
image_figures_81.png,"""pole"",","""steam locomotive"",","""pole"",","""mobile home"",","""electric locomotive"","
image_figures_82.png,"""dam"",","""tractor"",","""dam"",","""dam"",","""snowplow"","
image_figures_83.png,"""split-rail fence"",","""patio"",","""cliff"",","""baluster"",","""thatched roof"","
image_figures_84.png,"""wheelbarrow"",","""wheelbarrow"",","""wheelbarrow"",","""wheelbarrow"",","""wheelbarrow"","
image_figures_85.png,"""pole"",","""pole"",","""pole"",","""pole"",","""pole"","
image_figures_86.png,"""split-rail fence"",","""breakwater"",","""electric locomotive"",","""split-rail fence"",","""freight car"","
image_figures_87.png,"""ear"",","""monastery"",","""cliff"",","""chainsaw"",","""chainsaw"","
image_figures_88.png,"""sawmill"",","""mountain bike"",","""geyser"",","""mountain bike"",","""geyser"","
image_figures_89.png,"""water tower"",","""missile"",","""water tower"",","""semi-trailer truck"",","""shopping cart"","
image_figures_90.png,"""valley"",","""alp"",","""valley"",","""valley"",","""valley"","
image_figures_91.png,"""picket fence"",","""parachute"",","""alp"",","""flagpole"",","""traffic light"","
image_figures_92.png,"""chain-link fence"",","""chain-link fence"",","""chain-link fence"",","""chain-link fence"",","""chain-link fence"","
image_figures_93.png,"""water tower"",","""water tower"",","""split-rail fence"",","""pole"",","""hay"","
image_figures_94.png,"""waste container"",","""rain barrel"",","""punching bag"",","""rain barrel"",","""rain barrel"","
image_figures_95.png,"""valley"",","""alp"",","""alp"",","""alp"",","""valley"","
image_figures_96.png,"""alp"",","""alp"",","""alp"",","""alp"",","""valley"","
image_figures_97.png,"""mountain bike"",","""mountain bike"",","""garbage truck"",","""plow"",","""mountain bike"","
image_figures_98.png,"""cliff"",","""feather boa"",","""cliff"",","""cliff"",","""cliff"","
image_figures_99.png,"""baseball player"",","""baseball player"",","""shoal"",","""shoal"",","""shoal"","
image_figures_100.png,"""mobile home"",","""mobile home"",","""sawmill"",","""mobile home"",","""mobile home"","
image_figures_101.png,"""solar thermal collector"",","""breastplate"",","""solar thermal collector"",","""Afghan Hound"",","""yurt"","
image_figures_102.png,"""sarong"",","""canoe"",","""torch"",","""minibus"",","""binoculars"","
image_figures_103.png,"""prison"",","""maypole"",","""pulled rickshaw"",","""prison"",","""prison"","
image_figures_104.png,"""academic gown"",","""maypole"",","""military uniform"",","""academic gown"",","""pulled rickshaw"","
image_figures_105.png,"""restaurant"",","""gondola"",","""ski"",","""paintbrush"",","""sliding door"","
image_figures_106.png,"""garfish"",","""bullock cart"",","""coho salmon"",","""sturgeon"",","""garfish"","
image_figures_107.png,"""bobsleigh"",","""cello"",","""acoustic guitar"",","""cello"",","""clogs"","
image_figures_108.png,"""bulletproof vest"",","""square academic cap"",","""handkerchief"",","""sunscreen"",","""square academic cap"","
image_figures_109.png,"""shoe store"",","""shoe store"",","""turnstile"",","""prison"",","""prison"","
image_figures_110.png,"""lakeshore"",","""lakeshore"",","""lakeshore"",","""lakeshore"",","""lakeshore"","
image_figures_111.png,"""restaurant"",","""restaurant"",","""restaurant"",","""shoe store"",","""basketball"","
image_figures_112.png,"""stretcher"",","""swimming cap"",","""cliff"",","""bulletproof vest"",","""cliff"","
image_figures_113.png,"""restaurant"",","""movie theater"",","""restaurant"",","""patio"",","""patio"","
image_figures_114.png,"""prison"",","""moving van"",","""sawmill"",","""sawmill"",","""sliding door"","
image_figures_115.png,"""restaurant"",","""library"",","""restaurant"",","""library"",","""stretcher"","
image_figures_116.png,"""lakeshore"",","""apiary"",","""valley"",","""apiary"",","""apiary"","
image_figures_117.png,"""lakeshore"",","""wheelbarrow"",","""maze"",","""shopping cart"",","""stone wall"","
image_figures_118.png,"""minivan"",","""minivan"",","""minivan"",","""minivan"",","""minivan"","
image_figures_119.png,"""solar thermal collector"",","""turnstile"",","""accordion"",","""swing"",","""swing"","
image_figures_120.png,"""shovel"",","""lakeshore"",","""unicycle"",","""school bus"",","""valley"","
image_figures_121.png,"""sawmill"",","""sawmill"",","""sawmill"",","""maze"",","""maze"","
image_figures_122.png,"""maze"",","""maze"",","""maze"",","""stretcher"",","""maze"","
image_figures_123.png,"""shoal"",","""valley"",","""cliff dwelling"",","""maze"",","""maze"","
image_figures_124.png,"""canoe"",","""balloon"",","""bobsleigh"",","""canoe"",","""canoe"","
image_figures_125.png,"""maze"",","""volleyball"",","""maze"",","""maze"",","""maze"","
image_figures_126.png,"""mountain bike"",","""maze"",","""mountain bike"",","""maze"",","""maze"","
image_figures_127.png,"""shoal"",","""maze"",","""volcano"",","""volcano"",","""valley"","
image_figures_128.png,"""sawmill"",","""cliff"",","""sawmill"",","""stretcher"",","""stretcher"","
image_figures_129.png,"""thatched roof"",","""umbrella"",","""cliff"",","""dam"",","""picket fence"","
image_figures_130.png,"""torch"",","""garfish"",","""toilet paper""]","""torch"",","""apiary"","
image_figures_131.png,"""tow truck"",","""pickup truck"",","""pickup truck"",","""tow truck"",","""pickup truck"","
image_figures_132.png,"""minivan"",","""pulled rickshaw"",","""minivan"",","""minivan"",","""minivan"","
image_figures_133.png,"""sawmill"",","""horizontal bar"",","""swing"",","""thatched roof"",","""sawmill"","
image_figures_134.png,"""shovel"",","""solar thermal collector"",","""crutch"",","""crutch"",","""bow"","
image_figures_135.png,"""solar thermal collector"",","""shopping cart"",","""waste container"",","""chainsaw"",","""toucan"","
image_figures_136.png,"""Dobermann"",","""Saluki"",","""Irish Wolfhound"",","""shoal"",","""shoal"","
image_figures_137.png,"""aircraft carrier"",","""maze"",","""alp"",","""unicycle"",","""go-kart"","
image_figures_138.png,"""home theater"",","""automated teller machine"",","""sliding door"",","""sliding door"",","""sliding door"","
image_figures_139.png,"""mountain bike"",","""mountain bike"",","""alp"",","""split-rail fence"",","""picket fence"","
image_figures_140.png,"""library"",","""syringe"",","""Christmas stocking"",","""apron"",","""apron"","
image_figures_141.png,"""jigsaw puzzle"",","""jigsaw puzzle"",","""envelope"",","""handkerchief"",","""jigsaw puzzle"","
image_figures_142.png,"""traffic sign"",","""traffic sign"",","""pole"",","""pole"",","""pole"","
image_figures_143.png,"""carousel"",","""carousel"",","""carousel"",","""carousel"",","""restaurant"","
image_figures_144.png,"""toy store"",","""bulletproof vest"",","""comic book"",","""broom"",","""jigsaw puzzle"","
image_figures_145.png,"""printer"",","""laptop computer"",","""desk"",","""desk"",","""quill"","
image_figures_146.png,"""maypole"",","""maypole"",","""stretcher"",","""maypole"",","""maypole"","
image_figures_147.png,"""sawmill"",","""accordion"",","""tile roof"",","""gas pump"",","""sawmill"","
image_figures_148.png,"""sawmill"",","""military uniform"",","""forklift"",","""sturgeon"",","""solar thermal collector"","
image_figures_149.png,"""mountain bike"",","""mountain bike"",","""jeep"",","""mountain bike"",","""mountain bike"","
image_figures_150.png,"""sawmill"",","""chainsaw"",","""chainsaw"",","""overskirt"",","""sleeping bag"","
image_figures_151.png,"""sawmill"",","""volleyball"",","""maze"",","""plow"",","""maze"","
image_figures_152.png,"""minibus"",","""school bus"",","""trolleybus"",","""fire engine"",","""trolleybus"","
